file,module,function,lineno,status,details,call_expression,target_module,target_name,classification,args_provided,keywords,star_args,kw_args
advanced_profiler.py,advanced_profiler,AdvancedProfiler.analyze,238,unresolved,Target not resolved; likely dynamic or external,self.call_graph.items,,,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.analyze,240,unresolved,Target not resolved; likely dynamic or external,handoffs.append,advanced_profiler,handoffs.append,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.analyze,244,unresolved,Target not resolved; likely dynamic or external,handoff_counts.most_common,advanced_profiler,handoff_counts.most_common,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,259,unresolved,Target not resolved; likely dynamic or external,self.function_timeline.keys,,,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,263,unresolved,Target not resolved; likely dynamic or external,functions_by_role[role].append,,,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,266,unresolved,Target not resolved; likely dynamic or external,plt.subplots,matplotlib.pyplot,subplots,unresolved,0,figsize,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,287,unresolved,Target not resolved; likely dynamic or external,mpatches.Rectangle,matplotlib.patches,Rectangle,unresolved,3,"facecolor,alpha,edgecolor,linewidth",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,296,unresolved,Target not resolved; likely dynamic or external,ax.add_patch,advanced_profiler,ax.add_patch,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,298,unresolved,Target not resolved; likely dynamic or external,y_labels.append,advanced_profiler,y_labels.append,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,298,unresolved,Target not resolved; likely dynamic or external,func_id.split,advanced_profiler,func_id.split,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,299,unresolved,Target not resolved; likely dynamic or external,y_ticks.append,advanced_profiler,y_ticks.append,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,302,unresolved,Target not resolved; likely dynamic or external,role_boundaries.append,advanced_profiler,role_boundaries.append,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,306,unresolved,Target not resolved; likely dynamic or external,ax.axhline,advanced_profiler,ax.axhline,unresolved,0,"y,color,linestyle,linewidth,alpha",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,308,unresolved,Target not resolved; likely dynamic or external,ax.text,advanced_profiler,ax.text,unresolved,3,"rotation,va,fontsize,fontweight,color",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,313,unresolved,Target not resolved; likely dynamic or external,ax.set_xlim,advanced_profiler,ax.set_xlim,unresolved,2,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,314,unresolved,Target not resolved; likely dynamic or external,ax.set_ylim,advanced_profiler,ax.set_ylim,unresolved,2,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,315,unresolved,Target not resolved; likely dynamic or external,ax.set_xlabel,advanced_profiler,ax.set_xlabel,unresolved,1,"fontsize,fontweight",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,316,unresolved,Target not resolved; likely dynamic or external,ax.set_ylabel,advanced_profiler,ax.set_ylabel,unresolved,1,"fontsize,fontweight",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,317,unresolved,Target not resolved; likely dynamic or external,ax.set_yticks,advanced_profiler,ax.set_yticks,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,318,unresolved,Target not resolved; likely dynamic or external,ax.set_yticklabels,advanced_profiler,ax.set_yticklabels,unresolved,1,fontsize,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,319,unresolved,Target not resolved; likely dynamic or external,ax.set_title,advanced_profiler,ax.set_title,unresolved,1,"fontsize,fontweight,pad",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,325,unresolved,Target not resolved; likely dynamic or external,ax.grid,advanced_profiler,ax.grid,unresolved,0,"axis,alpha",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,329,unresolved,Target not resolved; likely dynamic or external,mpatches.Patch,matplotlib.patches,Patch,unresolved,0,"color,alpha,label",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,330,unresolved,Target not resolved; likely dynamic or external,mpatches.Patch,matplotlib.patches,Patch,unresolved,0,"color,alpha,label",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,331,unresolved,Target not resolved; likely dynamic or external,mpatches.Patch,matplotlib.patches,Patch,unresolved,0,"color,alpha,label",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,333,unresolved,Target not resolved; likely dynamic or external,ax.legend,advanced_profiler,ax.legend,unresolved,0,"handles,loc,fontsize",False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,336,unresolved,Target not resolved; likely dynamic or external,plt.tight_layout,matplotlib.pyplot,tight_layout,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,337,unresolved,Target not resolved; likely dynamic or external,PdfPages,matplotlib.backends.backend_pdf,PdfPages,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,338,unresolved,Target not resolved; likely dynamic or external,pdf.savefig,advanced_profiler,pdf.savefig,unresolved,1,dpi,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.generate_pdf_timeline,339,unresolved,Target not resolved; likely dynamic or external,plt.close,matplotlib.pyplot,close,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.save_raw_data,353,unresolved,Target not resolved; likely dynamic or external,self.call_graph.items,,,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.save_raw_data,354,unresolved,Target not resolved; likely dynamic or external,self.function_timeline.items,,,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,main,368,unresolved,Target not resolved; likely dynamic or external,parser.add_argument,advanced_profiler,parser.add_argument,unresolved,1,"type,default,help",False,False
advanced_profiler.py,advanced_profiler,main,370,unresolved,Target not resolved; likely dynamic or external,parser.add_argument,advanced_profiler,parser.add_argument,unresolved,1,"type,default,help",False,False
advanced_profiler.py,advanced_profiler,main,372,unresolved,Target not resolved; likely dynamic or external,parser.add_argument,advanced_profiler,parser.add_argument,unresolved,1,"type,default,help",False,False
advanced_profiler.py,advanced_profiler,main,374,unresolved,Target not resolved; likely dynamic or external,parser.parse_args,advanced_profiler,parser.parse_args,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,main,377,unresolved,Target not resolved; likely dynamic or external,AdvancedProfiler,advanced_profiler,AdvancedProfiler,unresolved,0,"sample_interval,duration",False,False
inject_advanced_profiler.py,inject_advanced_profiler,,20,unresolved,Target not resolved; likely dynamic or external,sys.path.insert,sys.path,insert,unresolved,2,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,,20,unresolved,Target not resolved; likely dynamic or external,os.path.dirname,os.path,dirname,unresolved,1,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,,20,unresolved,Target not resolved; likely dynamic or external,os.path.abspath,os.path,abspath,unresolved,1,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,inject_and_profile,42,unresolved,Target not resolved; likely dynamic or external,AdvancedProfiler,advanced_profiler,AdvancedProfiler,unresolved,0,"sample_interval,duration",False,False
inject_advanced_profiler.py,inject_advanced_profiler,inject_and_profile.profile_thread,47,unresolved,Target not resolved; likely dynamic or external,profiler.profile,inject_advanced_profiler,profiler.profile,unresolved,0,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,inject_and_profile.profile_thread,48,unresolved,Target not resolved; likely dynamic or external,profiler.analyze,inject_advanced_profiler,profiler.analyze,unresolved,0,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,inject_and_profile.profile_thread,49,unresolved,Target not resolved; likely dynamic or external,profiler.generate_pdf_timeline,inject_advanced_profiler,profiler.generate_pdf_timeline,unresolved,0,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,inject_and_profile.profile_thread,50,unresolved,Target not resolved; likely dynamic or external,profiler.save_raw_data,inject_advanced_profiler,profiler.save_raw_data,unresolved,0,,False,False
inject_advanced_profiler.py,inject_advanced_profiler,inject_and_profile,64,unresolved,Target not resolved; likely dynamic or external,thread.start,inject_advanced_profiler,thread.start,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._categorize_thread,45,unresolved,Target not resolved; likely dynamic or external,thread_name.lower,thread_analyzer,thread_name.lower,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._categorize_thread,49,unresolved,Target not resolved; likely dynamic or external,pattern.lower,thread_analyzer,pattern.lower,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._categorize_thread,54,unresolved,Target not resolved; likely dynamic or external,pattern.lower,thread_analyzer,pattern.lower,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.capture_snapshot,109,unresolved,Target not resolved; likely dynamic or external,datetime.now().isoformat,,,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.capture_snapshot,114,unresolved,Target not resolved; likely dynamic or external,sys._current_frames().items,,,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.capture_snapshot,141,unresolved,Target not resolved; likely dynamic or external,thread_obj.is_alive,thread_analyzer,thread_obj.is_alive,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.capture_snapshot,161,unresolved,Target not resolved; likely dynamic or external,snapshot['threads'].append,,,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.capture_snapshot,168,unresolved,Target not resolved; likely dynamic or external,loop.is_closed,thread_analyzer,loop.is_closed,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.capture_snapshot,177,unresolved,Target not resolved; likely dynamic or external,self.snapshots.append,,,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._is_thread_blocked,244,unresolved,Target not resolved; likely dynamic or external,frame_info.name.lower,thread_analyzer,frame_info.name.lower,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._identify_blocking_call,256,unresolved,Target not resolved; likely dynamic or external,frame_info.name.lower,thread_analyzer,frame_info.name.lower,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._format_stack,277,unresolved,Target not resolved; likely dynamic or external,s.filename.split,thread_analyzer,s.filename.split,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.compare_snapshots,293,unresolved,Target not resolved; likely dynamic or external,snap2_threads.get,thread_analyzer,snap2_threads.get,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.compare_snapshots,302,unresolved,Target not resolved; likely dynamic or external,stuck_threads.append,thread_analyzer,stuck_threads.append,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.print_snapshot,333,unresolved,Target not resolved; likely dynamic or external,lead_threads.sort,thread_analyzer,lead_threads.sort,unresolved,0,"key,reverse",False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.print_snapshot,334,unresolved,Target not resolved; likely dynamic or external,bg_threads.sort,thread_analyzer,bg_threads.sort,unresolved,0,"key,reverse",False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer.print_snapshot,335,unresolved,Target not resolved; likely dynamic or external,user_threads.sort,thread_analyzer,user_threads.sort,unresolved,0,"key,reverse",False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._print_thread,367,unresolved,Target not resolved; likely dynamic or external,severity_emoji.get,thread_analyzer,severity_emoji.get,unresolved,2,,False,False
thread_analyzer.py,thread_analyzer,ThreadAnalyzer._print_thread,386,unresolved,Target not resolved; likely dynamic or external,frame['code'].strip,,,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,run_standalone,435,unresolved,Target not resolved; likely dynamic or external,ThreadAnalyzer,thread_analyzer,ThreadAnalyzer,unresolved,0,,False,False
thread_analyzer.py,thread_analyzer,run_standalone,454,unresolved,Target not resolved; likely dynamic or external,all_stuck.extend,thread_analyzer,all_stuck.extend,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,run_standalone,462,unresolved,Target not resolved; likely dynamic or external,seen.add,thread_analyzer,seen.add,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,run_standalone,463,unresolved,Target not resolved; likely dynamic or external,unique_stuck.append,thread_analyzer,unique_stuck.append,unresolved,1,,False,False
thread_analyzer.py,thread_analyzer,monitor_in_app,483,unresolved,Target not resolved; likely dynamic or external,ThreadAnalyzer,thread_analyzer,ThreadAnalyzer,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,19,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,20,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,21,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,22,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,23,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,24,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,25,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.__init__,26,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentConfig.matches_trigger,30,unresolved,Target not resolved; likely dynamic or external,user_input.lower,agent_manager,user_input.lower,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentConfig.matches_trigger,32,unresolved,Target not resolved; likely dynamic or external,trigger.lower,agent_manager,trigger.lower,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,42,unresolved,Target not resolved; likely dynamic or external,parts.append,agent_manager,parts.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,44,unresolved,Target not resolved; likely dynamic or external,parts.append,agent_manager,parts.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,47,unresolved,Target not resolved; likely dynamic or external,parts.append,agent_manager,parts.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,49,unresolved,Target not resolved; likely dynamic or external,parts.append,agent_manager,parts.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,52,unresolved,Target not resolved; likely dynamic or external,parts.append,agent_manager,parts.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,54,unresolved,Target not resolved; likely dynamic or external,parts.append,agent_manager,parts.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentConfig.build_system_message,56,unresolved,Target not resolved; likely dynamic or external,'\n'.join,,,unresolved,1,,False,False
agent_manager.py,agent_manager,ContextManager.compress_context,87,unresolved,Target not resolved; likely dynamic or external,m.get,agent_manager,m.get,unresolved,1,,False,False
agent_manager.py,agent_manager,ContextManager.compress_context,88,unresolved,Target not resolved; likely dynamic or external,m.get,agent_manager,m.get,unresolved,1,,False,False
agent_manager.py,agent_manager,ContextManager.optimize_tool_results,106,unresolved,Target not resolved; likely dynamic or external,msg.get,agent_manager,msg.get,unresolved,1,,False,False
agent_manager.py,agent_manager,ContextManager.optimize_tool_results,107,unresolved,Target not resolved; likely dynamic or external,msg.get,agent_manager,msg.get,unresolved,2,,False,False
agent_manager.py,agent_manager,ContextManager.optimize_tool_results,116,unresolved,Target not resolved; likely dynamic or external,optimized.append,agent_manager,optimized.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.__init__,128,unresolved,Target not resolved; likely dynamic or external,ContextManager,agent_manager,ContextManager,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.load_agents,135,unresolved,Target not resolved; likely dynamic or external,agents_config_file.exists,agent_manager,agents_config_file.exists,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.load_agents,137,unresolved,Target not resolved; likely dynamic or external,yaml.safe_load,yaml,safe_load,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.load_agents,138,unresolved,Target not resolved; likely dynamic or external,"config.get('agents', {}).items",,,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.load_agents,138,unresolved,Target not resolved; likely dynamic or external,config.get,agent_manager,config.get,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentManager.load_agents,139,unresolved,Target not resolved; likely dynamic or external,AgentConfig,agent_manager,AgentConfig,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentManager.load_agents,143,unresolved,Target not resolved; likely dynamic or external,AgentConfig,agent_manager,AgentConfig,unresolved,2,,False,False
agent_manager.py,agent_manager,AgentManager.find_agents_md,158,unresolved,Target not resolved; likely dynamic or external,agents_file.exists,agent_manager,agents_file.exists,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.find_agents_md,160,unresolved,Target not resolved; likely dynamic or external,f.read,agent_manager,f.read,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.find_agents_md,163,unresolved,Target not resolved; likely dynamic or external,Path('AGENTS.md').exists,,,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.find_agents_md,165,unresolved,Target not resolved; likely dynamic or external,f.read,agent_manager,f.read,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.select_agent,172,unresolved,Target not resolved; likely dynamic or external,user_input.startswith,agent_manager,user_input.startswith,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.select_agent,173,unresolved,Target not resolved; likely dynamic or external,user_input.split,agent_manager,user_input.split,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.select_agent,179,unresolved,Target not resolved; likely dynamic or external,self.agents.items,,,unresolved,0,,False,False
agent_manager.py,agent_manager,AgentManager.select_agent,180,unresolved,Target not resolved; likely dynamic or external,agent.matches_trigger,agent_manager,agent.matches_trigger,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.select_agent,181,unresolved,Target not resolved; likely dynamic or external,matched_agents.append,agent_manager,matched_agents.append,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.select_agent,185,unresolved,Target not resolved; likely dynamic or external,matched_agents.sort,agent_manager,matched_agents.sort,unresolved,0,reverse,False,False
agent_manager.py,agent_manager,AgentManager.prepare_messages,198,unresolved,Target not resolved; likely dynamic or external,self.agents.get,,,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.prepare_messages,214,unresolved,Target not resolved; likely dynamic or external,agent.build_system_message,agent_manager,agent.build_system_message,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.prepare_messages,218,unresolved,Target not resolved; likely dynamic or external,m.get,agent_manager,m.get,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.prepare_messages,222,unresolved,Target not resolved; likely dynamic or external,self.context_manager.optimize_tool_results,,,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.prepare_messages,225,unresolved,Target not resolved; likely dynamic or external,self.context_manager.compress_context,,,unresolved,3,,False,False
agent_manager.py,agent_manager,AgentManager.get_agent_tools,235,unresolved,Target not resolved; likely dynamic or external,self.agents.get,,,unresolved,1,,False,False
agent_manager.py,agent_manager,AgentManager.list_agents,245,unresolved,Target not resolved; likely dynamic or external,self.agents.items,,,unresolved,0,,False,False
github_tool.py,github_tool,GitHubTool.check_auth,29,unresolved,Target not resolved; likely dynamic or external,result.stdout.strip,github_tool,result.stdout.strip,unresolved,0,,False,False
github_tool.py,github_tool,GitHubTool.execute_command,51,unresolved,Target not resolved; likely dynamic or external,auth_status.get,github_tool,auth_status.get,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.execute_command,52,unresolved,Target not resolved; likely dynamic or external,auth_status.get,github_tool,auth_status.get,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.execute_command,57,unresolved,Target not resolved; likely dynamic or external,cmd.extend,github_tool,cmd.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.execute_command,67,unresolved,Target not resolved; likely dynamic or external,output.strip,github_tool,output.strip,unresolved,0,,False,False
github_tool.py,github_tool,GitHubTool.repo_view,79,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.repo_view,80,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.repo_view,81,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_list,91,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_list,92,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_view,101,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_view,102,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_view,103,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_create,112,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.issue_create,114,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_list,123,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_list,124,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_view,133,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_view,134,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_view,135,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_create,144,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_create,146,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_create,148,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.pr_checkout,157,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.workflow_list,166,unresolved,Target not resolved; likely dynamic or external,args.extend,github_tool,args.extend,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.workflow_list,167,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
github_tool.py,github_tool,GitHubTool.workflow_list,168,unresolved,Target not resolved; likely dynamic or external,args.append,github_tool,args.append,unresolved,1,,False,False
